Index,Country,Quality of Life,Purchasing Power,Safety,Healthcare,Cost of Living,Property Price to Income,Traffic Commute Time,Pollution,Climate,Crime,Population Density,GDP per capita,Happiness,
1,Switzerland,188.36,102.77,78.38,74.08,125.02,8.18,28.67,19.86,80.05,21.62,218.5668955,71352.3526,7.56,
2,Denmark,186.25,86.43,73.78,79.79,88.53,7,28.69,21.29,81.8,26.22,145.7851,60398.45334,7.646,
3,Netherlands,180.27,76.65,72.84,75.28,78.93,7.28,27.64,25.39,87,27.16,518.0023463,59228.83495,7.449,
4,Finland,178.95,80.11,72.41,76.19,76.35,8.57,28.91,11.99,56.64,27.59,18.19794354,51089.78533,7.809,
5,Australia,178.41,91.07,56.97,77.86,80.75,7.27,34.81,23.69,92.7,43.03,3.339440225,52518.32448,7.223,
6,Iceland,177.64,67.3,76.25,65.85,99.67,6.11,19.9,15.97,68.81,23.75,3.634087077,55216.02618,7.504,
7,Austria,176.36,68.69,74.46,76.98,74.87,10.91,25.67,20.42,77.15,25.54,108.0611367,55097.46123,7.294,
8,Germany,175.24,89.86,64.21,73.49,67.85,8.88,31.22,27.81,82.82,35.79,238.252118,53694.35471,7.076,
9,New Zealand,173.6,74.89,57.12,73.59,76.31,7.78,30.72,23.72,96.69,42.88,19.30917929,44251.79422,7.3,
10,Luxembourg,171.81,87.76,65.87,72.92,85.3,13,31.79,23.27,82.62,34.13,260.1954733,118359.5262,7.238,
11,Norway,171.72,73.55,66.28,75.59,103.56,8.09,26.93,18.09,68.68,33.72,14.7339341,63197.98147,7.488,
12,Estonia,171.16,56.58,76.29,72.68,53.77,9.37,24.44,19.72,64.28,23.71,30.62012882,38394.91753,6.022,
13,Sweden,170.19,85.44,52,68.82,75.89,7.71,29.77,18.46,74.92,48,25.41907147,54563.12141,7.353,
15,Slovenia,165.74,52.08,77.72,65.19,56.4,11.67,26.93,22.65,77.56,22.28,104.295008,39593.30744,6.363,
16,Japan,164.06,76.01,77.81,80.21,81.15,11.59,39.96,39.1,85.27,22.19,345.2291385,42197.25481,5.871,
17,United States,163.6,94.32,52.19,69.11,70.55,4.04,32.87,39.26,77.49,47.81,36.01935005,63543.57779,6.94,
18,Spain,163.48,58.5,66.68,78.85,56.64,9.22,29.28,39.73,93.65,33.32,94.77829717,38334.61134,6.401,
19,Lithuania,160.29,52.8,66.58,70.91,46.04,10.49,25.81,26.67,69.86,33.42,44.62238544,38734.72932,6.215,
20,Portugal,159.83,40.54,70.09,71.85,50.65,12.92,29.33,30.19,97.81,29.91,112.4992795,34495.92247,5.911,
21,Czech Republic,157.49,54.8,74.48,75.39,48.2,13.71,29.58,36.31,77.13,25.52,138.5867358,41737.41804,6.911,
22,Canada,157.25,78.34,58.11,71.69,71.45,7.24,33.69,28.54,55.29,41.89,4.239011376,48072.58376,7.232,
23,United Kingdom,156.94,77.47,53.93,75.11,70.64,9.46,34.4,40.1,88.21,46.07,277.8295085,44916.22834,7.165,
24,United Arab Emirates,156.94,84.93,84.77,68.22,58.94,4.49,36.23,49.93,45.23,15.23,139.2621797,69957.61808,6.791,
25,Croatia,155.41,39.83,75.41,63.95,55.18,13.59,28.07,30.84,89.69,24.59,71.51793603,28503.88057,5.505,
26,France,153.6,76.36,48.01,80.56,77.59,10.04,34.79,42.17,90.41,51.99,123.076834,46226.95054,6.664,
28,Ireland,150.54,71.58,54.49,52.82,78.55,6.69,38.1,33.86,89.13,45.51,72.50288866,93612.16591,7.129,
29,Belgium,148.18,70.12,55.42,75.37,75.79,7.01,36.82,50.09,86.03,44.58,381.6379458,51968.19202,6.864,
30,Slovakia,147.09,45.65,69.63,60.19,47.32,11.08,27.91,39.5,78.13,30.37,113.5363353,31832.39461,6.281,
31,Latvia,146.8,43.49,61.23,62.02,50.41,8.3,30.86,33.23,74.7,38.77,30.62567241,32019.22234,5.95,
32,Singapore,146.48,78.53,72.04,71.23,82.63,17.63,41.23,33.14,57.45,27.96,8019.473907,98525.95435,6.377,
33,Cyprus,146.08,49.36,68.72,54.59,61.64,6.57,23.07,55.06,93.34,31.28,130.6667749,38458.19126,6.159,
34,Saudi Arabia,144.69,80.11,74.77,60.88,49.6,2.66,28.39,63.91,45.98,25.23,16.19483135,46762.46927,6.406,
35,Israel,143.65,65.91,68.53,73.93,84.77,12.87,35.59,58.13,94.01,31.47,425.9195933,41854.93415,7.129,
36,Taiwan,138.5,51.09,84.54,86.38,64.93,21.78,31.41,62.98,81.6,15.46,673,50500,6.455,
37,Italy,137.77,54.3,55.15,66.99,69.99,8.76,34.04,54.06,91.48,44.85,200.0269472,41839.99102,6.387,
38,Hungary,134.54,47.41,65.64,52.85,42.26,10.64,35.87,48.12,79.48,34.36,106.8350099,33084.09623,6,
39,South Africa,131.37,69.15,23.14,63.94,44.21,3.44,39.39,56.45,95.25,76.86,48.89059344,12095.85629,4.814,
40,Romania,130.86,41.89,71.7,55.98,36.77,10.25,33.97,58.65,77.62,28.3,83.82355268,31945.74966,6.124,
42,Greece,127.96,35.95,54.15,57.09,58.38,9.61,33.95,52.1,92.49,45.85,83.13071373,28463.78868,5.515,
43,Poland,127.79,43.61,69.5,56.15,41.75,14.13,31.34,57.34,76.01,30.5,123.9533658,34264.75976,6.186,
44,Bulgaria,126.88,39.49,61.79,56.28,38.67,8.3,29.43,64.54,82.76,38.21,63.81068534,24367.32392,5.102,
45,South Korea,124.73,69.44,73.32,82.36,76.46,26.08,40.22,62.42,68.39,26.68,530.9739438,43124.29469,5.872,
46,Turkey,124.19,31.27,60.38,70.75,31.74,8.72,44.25,65.79,93.23,39.62,109.583913,28119.45304,5.132,
47,Bosnia And Herzegovina,123.85,38.94,57.01,53.24,36.95,11.02,25.89,61.04,80.48,42.99,64.07841797,15611.79131,5.674,
48,Uruguay,122.42,27.43,48.27,67.76,50.55,18.49,37.31,45.39,98.04,51.73,19.84760027,22795.05875,6.44,
49,Costa Rica,120.42,34.7,45.78,62.15,48.53,10.04,60.19,44.07,99.48,54.22,99.76721504,21031.81754,7.121,
50,Mexico,119.82,31.3,45.81,72.48,36.74,10.88,39.22,59.9,88.52,54.19,66.32513851,18833.08242,6.465,
51,Serbia,117,34.16,61.9,51.96,37.62,15.89,30.77,61.66,83.23,38.1,78.98723988,19230.63006,5.778,
52,Georgia,116.62,25.16,76.62,54.43,28.58,14.35,35.4,70.02,84.2,23.38,64.97778089,14863.01737,4.673,
53,Ecuador,116.27,27.1,44.77,68.21,38.79,13.32,39.28,58.36,94.51,55.23,71.03825093,10896.42743,5.925,
54,Malaysia,115.02,50.11,42.71,69.98,37.52,9.97,37.21,62.63,59.11,57.29,98.51163598,27886.86089,5.384,
55,Kuwait,113.67,70.51,66.58,58.97,49.14,12.53,33.22,66.15,20.22,33.42,239.65,51962.0477,6.102,
56,Jordan,112.28,27.95,60.04,65.37,50.91,7.91,41.66,76.38,89.05,39.96,114.9261095,10355.63132,4.633,
57,Panama,111.13,28.91,54.85,60.74,53.03,11.36,37.07,59.36,67.84,45.15,58.16854281,26775.69445,6.305,
59,Ukraine,107.8,30.28,52.58,53.7,31.2,11.21,37.83,63.59,70.69,47.42,76.17309803,13056.70207,4.561,
60,Belarus,107.15,29.87,40.42,44.79,31.58,16.24,30.25,44.79,64.37,59.58,46.30436989,20199.69849,5.54,
61,Morocco,105.04,29.77,51.34,45.87,35.58,12.91,36.3,69.42,90.04,48.66,82.70346852,7296.158065,5.095,
62,Brazil,104.7,25.13,32.51,57.79,36.06,15.96,41.39,54.4,95.41,67.49,25.43142481,14836.3071,6.376,
63,Argentina,104.31,27.68,36.18,68.99,35.33,26.37,42.6,51.01,98.28,63.82,16.58089261,20767.6105,5.975,
64,China,103.16,53.62,69.86,66.16,41.31,27.89,40.56,81.17,80.21,30.14,148.7698885,17311.99792,5.124,
65,India,103,42.16,55.57,65.83,24.6,10.78,46.61,79.89,65.47,44.43,464.1494102,6454.347356,3.573,
66,Pakistan,102.15,24.56,57.49,60.04,21.88,13.6,38.31,73.41,70.36,42.51,286.5456764,4876.630554,5.693,
67,Colombia,102.02,25.34,43.13,66.92,28.12,17.48,47.33,62.89,88.3,56.87,45.86109419,14565.36805,6.163,
68,Azerbaijan,101.41,23.1,67.98,44.56,30.04,17.57,40.01,74.3,91.4,32.02,122.3185327,14451.9837,5.165,
69,Thailand,100.3,28.87,60.65,77.68,44.76,21.21,39.76,75.35,69.45,39.35,136.6242792,18236.17611,5.999,
70,Russia,97.91,35.53,60.01,58.53,36.76,15.31,44.53,62.63,39.84,39.99,8.7992443,28213.44784,5.546,
71,Chile,97.27,29.43,46.58,63.99,48.6,18.08,36.18,78.63,90.21,53.42,25.71000172,25067.6916,6.228,
72,Hong Kong,96.1,56.86,78,66.37,80.82,45.71,42.72,67.38,83.64,22,7140,59848,5.51,
73,Kazakhstan,94.25,31.62,46.23,59.62,29.58,9.49,34.79,73.17,39.78,53.77,6.946860762,26728.54392,6.058,
74,Indonesia,90.15,19.01,54.07,60.52,35.95,21.52,43.28,67.15,68.48,45.93,145.6835435,12073.46151,5.286,
75,Vietnam,88.9,25.29,53.81,58.61,36.94,19.75,29.59,85.54,71.09,46.19,313.9245428,8650.653672,5.353,
76,Egypt,87.21,18.54,53.17,46.61,29.14,12.73,48.99,83.92,91.98,46.83,103,11763,4.151,
77,Peru,81.29,26.13,33.28,57.84,33.01,18.77,49.11,82.31,97.69,66.72,25.75925469,11879.2359,5.797,
78,Philippines,78.12,18,57.54,67.19,39.11,30.2,43.65,73.69,61.03,42.46,367.5121072,8390.353144,6.006,
79,Kenya,76.92,25.37,39.86,57.53,35.82,27.05,56.39,75.92,99.79,60.14,94.47816003,4452.206024,4.583,
80,Sri Lanka,75.52,18.43,58.61,72.72,30.41,38.56,56.74,59.97,59.11,41.39,354.309453,13225.4088,4.327,
81,Bangladesh,64.54,21.76,36.1,42.22,33.01,14.91,57.12,84.94,72.91,63.9,1265.186932,5082.68075,4.833,
82,Iran,63.6,16.82,50.62,52.33,40.64,34.87,47.25,75.7,70.99,49.38,52,13116.07236,4.672,
83,Nigeria,54.71,8.79,35.94,48.52,29.63,14.02,61.97,87.7,60.75,64.06,226.335504,5186.723484,4.724,
