,Paths,Countries,Predictions,Actual
0,Cost of Living > 45.39999961853027 Purchasing Power > 62.20500183105469 Pollution <= 60.27499961853027 ,Norway,7.250785714285714,7.4879999999999995
1,Cost of Living > 45.39999961853027 Purchasing Power > 62.20500183105469 Pollution > 60.27499961853027 ,Kuwait,6.139000000000001,6.102
2,Cost of Living <= 45.39999961853027 Traffic Commute Time <= 45.88999938964844 Purchasing Power <= 48.760000228881836 Pollution > 59.845001220703125 ,Azerbaijan,5.6237,5.165
3,Cost of Living > 45.39999961853027 Purchasing Power > 62.20500183105469 Pollution <= 60.27499961853027 ,Singapore,7.250785714285714,6.377000000000001
4,Cost of Living <= 45.39999961853027 Traffic Commute Time > 45.88999938964844 Safety > 34.689998626708984 ,Nigeria,4.49575,4.724
5,Cost of Living > 45.39999961853027 Purchasing Power <= 62.20500183105469 GDP per capita > 21913.4384765625 Healthcare <= 74.03499984741211 ,Greece,6.103363636363636,5.515
6,Cost of Living <= 45.39999961853027 Traffic Commute Time <= 45.88999938964844 Purchasing Power <= 48.760000228881836 Pollution > 59.845001220703125 ,Ukraine,5.6237,4.561
7,Cost of Living > 45.39999961853027 Purchasing Power > 62.20500183105469 Pollution <= 60.27499961853027 ,France,7.250785714285714,6.664
8,Cost of Living <= 45.39999961853027 Traffic Commute Time <= 45.88999938964844 Purchasing Power <= 48.760000228881836 Pollution > 59.845001220703125 ,Vietnam,5.6237,5.353
9,Cost of Living > 45.39999961853027 Purchasing Power > 62.20500183105469 Pollution <= 60.27499961853027 ,Netherlands,7.250785714285714,7.449
10,Cost of Living <= 45.39999961853027 Traffic Commute Time <= 45.88999938964844 Purchasing Power <= 48.760000228881836 Pollution > 59.845001220703125 ,Turkey,5.6237,5.132000000000001
11,Cost of Living > 45.39999961853027 Purchasing Power <= 62.20500183105469 GDP per capita > 21913.4384765625 Healthcare <= 74.03499984741211 ,Chile,6.103363636363636,6.228
12,Cost of Living <= 45.39999961853027 Traffic Commute Time > 45.88999938964844 Safety > 34.689998626708984 ,Colombia,4.49575,6.162999999999999
13,Cost of Living > 45.39999961853027 Purchasing Power > 62.20500183105469 Pollution <= 60.27499961853027 ,Denmark,7.250785714285714,7.646
14,Cost of Living <= 45.39999961853027 Traffic Commute Time > 45.88999938964844 Safety > 34.689998626708984 ,Kenya,4.49575,4.583
15,Cost of Living > 45.39999961853027 Purchasing Power > 62.20500183105469 Pollution <= 60.27499961853027 ,Canada,7.250785714285714,7.232
16,Cost of Living <= 45.39999961853027 Traffic Commute Time <= 45.88999938964844 Purchasing Power <= 48.760000228881836 Pollution > 59.845001220703125 ,Mexico,5.6237,6.465
17,Cost of Living <= 45.39999961853027 Traffic Commute Time <= 45.88999938964844 Purchasing Power <= 48.760000228881836 Pollution <= 59.845001220703125 ,Belarus,6.097666666666666,5.54
18,Cost of Living <= 45.39999961853027 Traffic Commute Time <= 45.88999938964844 Purchasing Power <= 48.760000228881836 Pollution > 59.845001220703125 ,Georgia,5.6237,4.673
19,Cost of Living > 45.39999961853027 Purchasing Power <= 62.20500183105469 GDP per capita > 21913.4384765625 Healthcare <= 74.03499984741211 ,Portugal,6.103363636363636,5.9110000000000005
20,Cost of Living > 45.39999961853027 Purchasing Power > 62.20500183105469 Pollution <= 60.27499961853027 ,Japan,7.250785714285714,5.871
21,Cost of Living > 45.39999961853027 Purchasing Power > 62.20500183105469 Pollution <= 60.27499961853027 ,Belgium,7.250785714285714,6.864
22,Cost of Living <= 45.39999961853027 Traffic Commute Time > 45.88999938964844 Safety > 34.689998626708984 ,India,4.49575,3.573
23,Cost of Living > 45.39999961853027 Purchasing Power <= 62.20500183105469 GDP per capita <= 21913.4384765625 ,Jordan,7.121,4.633
